algorithm,inputType,n,ms,trial
selection,random,15000,40.221554,4
merge,random,15000,1.162411,4
quick,random,15000,0.858573,4
selection,random,15000,40.291388,5
merge,random,15000,1.166518,5
quick,random,15000,0.861070,5
selection,sorted,15000,39.775361,1
merge,sorted,15000,0.289674,1
quick,sorted,15000,65.733848,1
selection,sorted,15000,39.344427,2
merge,sorted,15000,0.290614,2
quick,sorted,15000,66.166521,2
selection,sorted,15000,40.295754,3
merge,sorted,15000,0.288825,3
quick,sorted,15000,66.211491,3
selection,sorted,15000,39.737971,4
merge,sorted,15000,0.289960,4
quick,sorted,15000,70.953948,4
selection,sorted,15000,39.824459,5
merge,sorted,15000,0.291664,5
quick,sorted,15000,64.511463,5
selection,reversed,15000,45.354978,1
merge,reversed,15000,0.394453,1
quick,reversed,15000,47.189155,1
selection,reversed,15000,45.114578,2
merge,reversed,15000,0.392420,2
quick,reversed,15000,46.912847,2
selection,reversed,15000,45.112539,3
merge,reversed,15000,0.395533,3
quick,reversed,15000,47.014673,3
selection,reversed,15000,45.326695,4
merge,reversed,15000,0.401160,4
quick,reversed,15000,47.253649,4
selection,reversed,15000,45.642386,5
merge,reversed,15000,0.397009,5
quick,reversed,15000,47.209101,5
selection,nearlySorted,15000,39.596548,1
merge,nearlySorted,15000,0.372155,1
quick,nearlySorted,15000,8.763934,1
selection,nearlySorted,15000,40.168078,2
merge,nearlySorted,15000,0.387836,2
quick,nearlySorted,15000,4.056450,2
selection,nearlySorted,15000,39.626478,3
merge,nearlySorted,15000,0.370628,3
quick,nearlySorted,15000,4.020495,3
selection,nearlySorted,15000,39.955646,4
merge,nearlySorted,15000,0.371894,4
quick,nearlySorted,15000,4.047711,4
selection,nearlySorted,15000,39.442445,5
merge,nearlySorted,15000,0.382489,5
quick,nearlySorted,15000,4.034199,5
